Tabla:,,CONCENTRADOHOGAR,,,,
,,,,,,
Insumos:,,,,,,
"VIVIENDAS
HOGARES
POBLACION
INGRESOS",,,,,"GASTOSHOGAR
GASTOSPERSONA
EROGACIONES
",
,,,,,,
Construcción general:,,,,,,
"Esta tabla es un resumen a nivel hogar con las principales variables de interés de la encuesta.

Se construyen las variables (para explotación) de acuerdo a la lista de variables.",,,,,,
,,,,,,
Lista de variables:,,,,,,
#,Variable,Tipo,Categorías / valores nulos,,Construcción / Observaciones,
,Explotación,,Valor,Etiqueta,,
1,folioviv,C (10),NOT NULL,,llave foránea de la tabla hogares,
2,foliohog,C (1),NOT NULL,,llave foránea de la tabla hogares,
3,ubica_geo,C (5),NOT NULL,,Igual a la variable ubica_geo de la tabla viviendas,
4,tam_loc,C (1),NOT NULL,,Igual a la variable tam_loc de la tabla viviendas,
,,,1,Localidades con 100 000 y más habitantes,,
,,,2,Localidades con 15 000 a 99 999 habitantes,,
,,,3,Localidades con 2 500 a 14 999 habitantes,,
,,,4,Localidades con menos de 2 500 habitantes,,
5,est_socio,C (1),NOT NULL,,Igual a la variable est_socio de la tabla viviendas,
,,,1,Bajo,,
,,,2,Medio bajo,,
,,,3,Medio alto,,
,,,4,Alto,,
6,est_dis,C (3),NOT NULL,,Igual a la variable est_dis de la tabla viviendas,
7,upm,C (7),NOT NULL,,Igual a la variable upm de la tabla viviendas,
8,factor,N (5),NOT NULL,,Igual a la variable factor de la tabla viviendas,
9,clase_hog,C (1),NOT NULL,,Construcción clase_hog (ver nota),
,,,1,Unipersonal,,
,,,2,Nuclear,,
,,,3,Ampliado,,
,,,4,Compuesto,,
,,,5,Corresidente,,
10,sexo_jefe,C (1),NOT NULL,,Es igual a la variable sexo donde parentesco = 101 de la tabla poblacion,
,,,1,Hombre,,
,,,2,Mujer,,
11,edad_jefe,N (3),NOT NULL,,Es igual a la variable edad donde parentesco = 101 de la tabla poblacion,
12,educa_jefe,C (2),NULL,,Construcción educa_jefe (ver nota),
,,,01,Sin instrucción,,
