folioviv,camb_clim,climate_vulnerability_intensity
100001901,0,0
100001902,0,0
100001904,0,0
100001905,0,0
100002501,0,0
100002502,0,0
100002504,0,0
100002505,0,0
100002506,0,0
100003701,0,0
100003702,0,0
100003703,0,0
100003704,0,0
100003705,0,0
100003706,0,0
100004201,0,0
100004202,0,0
100004203,0,0
100004204,0,0
100004206,0,0
100005601,0,0
100005602,0,0
100005603,0,0
100005604,0,0
100005605,0,0
100005606,0,0
100006401,0,0
100006402,0,0
100006403,0,0
100006404,0,0
100006405,0,0
100006406,0,0
100007201,0,0
100007202,0,0
100007203,0,0
100007204,0,0
100007205,0,0
100007206,0,0
100008401,0,0
100008402,0,0
100008403,0,0
100008404,0,0
100008405,0,0
100008406,0,0
100009601,0,0
100009602,0,0
100009603,0,0
100009604,0,0
100009605,0,0
100009606,0,0
100010901,0,0
100010902,0,0
100010903,0,0
100010904,0,0
100010905,0,0
100010906,0,0
100011801,0,0
100011802,0,0
100011803,0,0
100011804,0,0
100011805,0,0
100011806,0,0
100012001,0,0
100012004,0,0
100012005,0,0
100012006,0,0
100013801,0,0
100013803,0,0
100013804,0,0
100013805,0,0
100013806,0,0
100014201,0,0
100014202,0,0
100014203,0,0
100014204,0,0
100014205,0,0
100014206,0,0
100015401,0,0
100015402,0,0
100015403,0,0
100015405,0,0
100015406,0,0
100016601,0,0
100016602,0,0
100016603,0,0
100016604,0,0
100016605,0,0
100017801,0,0
100017802,0,0
100017803,0,0
100017804,0,0
100017805,0,0
100017806,0,0
100018301,0,0
100018302,0,0
100018303,0,0
100018304,0,0
100018305,0,0
100018306,0,0
100019501,0,0
100019502,0,0
100019503,0,0
100019504,0,0
100019505,0,0
100019506,0,0
100020701,0,0
100020702,0,0
100020703,0,0
100020704,0,0
100020705,0,0
100020706,0,0
100021901,0,0
100021903,0,0
100021904,0,0
100021905,0,0
100022201,0,0
100022202,0,0
100022203,0,0
100022204,0,0
100022206,0,0
100023001,0,0
100023002,0,0
100023004,0,0
100023005,0,0
100023006,0,0
100024301,1,8
100024302,0,0
100024303,0,0
100024304,1,8
100024305,0,0
100024306,0,0
100025501,0,0
100025502,0,0
100025503,0,0
100025504,0,0
100025505,0,0
100025506,0,0
100026701,0,0
100026702,0,0
100026703,0,0
100026704,0,0
100026705,0,0
100026706,0,0
100027901,0,0
100027902,0,0
100027903,0,0
100027904,0,0
100027905,0,0
100027906,0,0
100028001,0,0
100028004,0,0
100028005,0,0
100028006,0,0
100029202,0,0
100029203,0,0
100029204,0,0
100029205,0,0
100029206,0,0
100030401,0,0
100030402,0,0
100030403,0,0
100030404,0,0
100030405,0,0
100030406,0,0
100031401,0,0
100031403,0,0
100031404,0,0
100031405,0,0
100031406,0,0
100032501,0,0
100032502,0,0
100032503,0,0
100032504,0,0
100032505,0,0
100032506,0,0
100033301,0,0
100033302,0,0
100033303,0,0
100033304,0,0
100033305,0,0
100033306,0,0
100034601,0,0
100034602,0,0
100034603,0,0
100034605,1,8
100034606,0,0
100035801,0,0
100035802,0,0
100035803,0,0
100035804,0,0
100035805,0,0
100035806,0,0
100036001,0,0
100036002,0,0
100036003,0,0
100036005,0,0
100036006,0,0
100037303,0,0
100037304,0,0
100037305,0,0
100037306,0,0
100038501,0,0
100038502,0,0
100038503,0,0
100038504,0,0
100038505,0,0
100038506,0,0
100039701,0,0
100039702,0,0
100039703,0,0
100039704,0,0
100039705,0,0
100039706,0,0
100040901,0,0
100040902,0,0
100040903,0,0
100040904,0,0
100040905,0,0
100040906,0,0
100041202,0,0
100041203,0,0
100041204,0,0
100041205,1,8
100041206,1,8
100042401,0,0
100042402,0,0
100042403,0,0
100042404,0,0
100042405,0,0
100042406,0,0
100043601,0,0
100043602,0,0
100043603,0,0
100043604,0,0
100043605,0,0
100043606,0,0
100044801,0,0
100044802,0,0
100044803,0,0
100044804,0,0
100044805,0,0
100044806,0,0
100045001,0,0
100045002,0,0
100045003,0,0
100045004,0,0
100045005,0,0
100045006,0,0
100046301,0,0
100046302,0,0
100046303,0,0
100046304,0,0
100046305,1,8
100046306,0,0
100047501,0,0
100047502,0,0
100047503,0,0
100047504,0,0
100047505,0,0
100047506,0,0
100048701,0,0
100048702,0,0
100048703,0,0
100048704,0,0
100048705,0,0
100048706,0,0
100049901,0,0
100049902,0,0
100049903,0,0
100049904,0,0
100049905,0,0
100049906,0,0
100050202,0,0
100050203,0,0
100050204,0,0
100050205,0,0
100050206,0,0
100051401,0,0
100051402,1,8
100051403,0,0
100051404,0,0
100051405,1,8
100051406,0,0
100052601,0,0
100052602,0,0
100052603,0,0
100052605,0,0
100052606,0,0
100053601,0,0
100053602,0,0
100053603,0,0
100053604,0,0
100053605,0,0
100053606,0,0
100054801,0,0
100054802,0,0
100054803,0,0
100054804,0,0
100054805,0,0
100054806,0,0
100055001,0,0
100055002,0,0
100055003,0,0
100055004,0,0
100055006,0,0
100056701,0,0
100056702,1,8
100056703,0,0
100056704,0,0
100056705,0,0
100056706,0,0
100057801,0,0
100057802,0,0
100057803,0,0
100057804,0,0
100057805,0,0
100057806,0,0
100058301,0,0
100058302,0,0
100058303,1,8
100058304,0,0
100058305,0,0
100058306,0,0
100059501,0,0
100059502,0,0
100059503,0,0
100059504,0,0
100059505,0,0
100060902,0,0
100060903,0,0
100060904,0,0
100060905,0,0
100060906,0,0
100061701,0,0
100061702,0,0
100061703,0,0
100061704,0,0
100061705,0,0
100061706,0,0
100062901,0,0
100062902,0,0
100062903,0,0
100062904,0,0
100062905,0,0
100062906,0,0
100063201,0,0
100063202,0,0
100063203,0,0
100063204,0,0
100063205,0,0
100063206,0,0
100064201,0,0
100064202,0,0
100064203,0,0
100064204,0,0
100064205,0,0
100064206,0,0
100065001,1,8
100065002,0,0
100065003,0,0
100065004,0,0
100065006,0,0
100066301,0,0
100066302,0,0
100066303,0,0
100066304,0,0
100066305,0,0
100066306,0,0
100067501,1,8
100067502,0,0
100067503,0,0
100067504,0,0
100067505,0,0
100067506,0,0
100068701,0,0
100068702,0,0
100068703,0,0
100068704,0,0
100068705,0,0
100068706,0,0
100069401,0,0
100069403,0,0
100069404,0,0
100069405,0,0
100069406,0,0
100070601,0,0
100070602,0,0
100070603,0,0
100070604,0,0
100070605,0,0
100070606,0,0
100071801,0,0
100071802,0,0
100071803,0,0
100071804,0,0
100071805,0,0
100071806,0,0
100072001,0,0
100072002,0,0
100072003,0,0
100072004,0,0
100072005,0,0
100072006,0,0
100073401,0,0
100073402,0,0
100073403,0,0
100073403,0,0
100073404,0,0
100073405,0,0
100073406,0,0
100074301,0,0
100074302,0,0
100074303,0,0
100074304,0,0
100074305,0,0
100075601,0,0
100075602,0,0
100075603,1,8
100075604,0,0
100075605,0,0
100075606,0,0
100076801,0,0
100076802,0,0
100076803,0,0
100076804,0,0
100076805,0,0
100076806,0,0
100077901,0,0
100077902,0,0
100077903,0,0
100077904,0,0
100077906,0,0
100078501,0,0
100078502,0,0
100078503,0,0
100078504,0,0
100078506,0,0
100079701,0,0
100079702,0,0
100079703,0,0
100079705,0,0
100079706,0,0
100080901,0,0
100080902,0,0
100080904,0,0
100080905,0,0
100080906,0,0
100081001,0,0
100081002,0,0
100081003,0,0
100081004,0,0
100081005,0,0
100081006,0,0
100082202,0,0
100082203,0,0
100082204,0,0
100082205,0,0
100082206,0,0
100083401,0,0
100083402,0,0
100083404,0,0
100083405,0,0
100083406,0,0
100084201,0,0
100084202,0,0
100084203,0,0
100084204,0,0
100084205,0,0
100084206,0,0
100085301,0,0
100085302,0,0
100085302,0,0
100085303,0,0
100085304,0,0
100085305,0,0
100085306,0,0
100086501,0,0
100086502,0,0
100086503,0,0
100086504,0,0
100086505,0,0
100086506,0,0
100087601,0,0
100087602,1,8
100087604,1,8
100087605,0,0
100087606,0,0
100088701,0,0
