folioviv,foliohog,ing_cor,gasto_mon,ubica_geo,tam_loc,acc_alim2,acc_alim7,acc_alim9,celular,tsalud1_h,tsalud1_m,camb_clim,f_sequia,f_inunda,f_helada,f_incendio,f_huracan,f_desliza,f_otro,af_viv,af_empleo,af_negocio,af_cultivo,af_trabajo,af_salud,af_otro,tot_resid,mat_pared,mat_techos,ab_agua,agua_noe,dotac_agua,agua_ent,sanit_agua,drenaje,uso_compar,excusado,camb_clim_right,climate_vulnerability_intensity,clave,tipo_gasto,mes_dia,lugar_comp,orga_inst,frecuencia,fecha_adqu,fecha_pago,gasto,costo,gasto_tri,saneamiento_deficiente,agua_intermitente,gasto_adaptacion
100001905,1,110430.1,43509.83,1001,1,0,0.0,0.0,1,0,5,0,0,0,0,0,0,0,0,,,,,,,,4,8,10,1,,2,1,1,1,2,1,0,0,43111.0,1.0,0,5,0,0,0,0,750.0,,366.84,0,1,0.006791626558338713
100003701,1,102540.94,50617.56,1001,1,0,,,1,0,15,0,0,0,0,0,0,0,0,,,,,,,,4,8,10,1,,1,1,1,1,2,1,0,0,43201.0,1.0,0,17,0,0,0,0,600.0,,295.08,0,0,0.005851321433175861
100003702,1,270786.86,200255.55,1001,1,0,,,1,0,10,0,0,0,0,0,0,0,0,,,,,,,,3,8,10,1,,1,1,1,1,2,1,0,0,43111.0,1.0,0,5,0,0,0,0,2500.0,,1229.5,0,0,0.009232353445806049
100003702,1,270786.86,200255.55,1001,1,0,,,1,0,10,0,0,0,0,0,0,0,0,,,,,,,,3,8,10,1,,1,1,1,1,2,1,0,0,43201.0,1.0,0,17,0,0,0,0,1000.0,,491.8,0,0,0.0036929413783224193
100003706,1,56311.45,37349.55,1001,1,0,,,1,0,20,0,0,0,0,0,0,0,0,,,,,,,,2,8,10,1,,3,1,1,1,2,1,0,0,43201.0,1.0,0,17,0,0,0,0,800.0,,393.44,0,1,0.0142067021893416
100004203,1,191240.73,145719.48,1001,1,0,,,1,0,15,0,0,0,0,0,0,0,0,,,,,,,,3,8,10,1,,1,1,1,1,2,1,0,0,43201.0,1.0,0,17,0,0,0,0,1100.0,,543.95,0,0,0.005751912785524296
100007202,1,73933.24,41286.15,1001,1,0,,,1,0,3,0,0,0,0,0,0,0,0,,,,,,,,1,8,10,1,,1,1,1,1,2,1,0,0,43111.0,1.0,0,17,0,0,0,0,10000.0,,4945.05,0,0,0.13525715902617008
100007202,1,73933.24,41286.15,1001,1,0,,,1,0,3,0,0,0,0,0,0,0,0,,,,,,,,1,8,10,1,,1,1,1,1,2,1,0,0,43201.0,1.0,0,17,0,0,0,0,4000.0,,1978.02,0,0,0.05410286361046803
100009602,1,235665.3,65223.07,1001,1,0,,,1,3,10,0,0,0,0,0,0,0,0,,,,,,,,5,8,10,1,,1,1,1,1,2,1,0,0,43111.0,1.0,0,5,0,0,0,0,2600.0,,1278.68,0,0,0.011032595804303815
100009602,1,235665.3,65223.07,1001,1,0,,,1,3,10,0,0,0,0,0,0,0,0,,,,,,,,5,8,10,1,,1,1,1,1,2,1,0,0,43201.0,1.0,0,17,0,0,0,0,5400.0,,2655.73,0,0,0.02291385282432331
