folioviv,foliohog,ing_cor,gasto_mon,ubica_geo,tam_loc
100001901,1,138232.38,47478.66,1001,1
100001902,1,118014.04,38782.74,1001,1
100001904,1,46866.32,28601.26,1001,1
100001905,1,110430.1,43509.83,1001,1
100002501,1,99494.12,132552.4,1001,1
100002502,1,119559.08,74443.1,1001,1
100002504,1,78830.79,35896.53,1001,1
100002505,1,41394.62,148492.7,1001,1
100002506,1,58162.55,41946.95,1001,1
100003701,1,102540.94,50617.56,1001,1
100003702,1,270786.86,200255.55,1001,1
100003703,1,119771.27,81423.14,1001,1
100003704,1,46908.18,32383.77,1001,1
100003705,1,42414.61,35683.07,1001,1
100003706,1,56311.45,37349.55,1001,1
100004201,1,311114.47,115208.83,1001,1
100004202,1,102428.62,70690.33,1001,1
100004203,1,191240.73,145719.48,1001,1
100004204,1,365358.05,226115.85,1001,1
100004206,1,181038.44,232597.26,1001,1
100005601,1,103770.46,35993.41,1001,1
100005602,1,54344.24,54781.52,1001,1
100005603,1,233975.39,58356.58,1001,1
100005604,1,85819.64,29873.52,1001,1
100005605,1,68922.65,46887.35,1001,1
100005606,1,107360.65,34508.07,1001,1
100006401,1,205926.87,68093.98,1001,1
100006402,1,195162.33,117315.05,1001,1
100006403,1,111650.97,45974.29,1001,1
100006404,1,186904.31,123140.84,1001,1
100006405,1,102529.59,42747.25,1001,1
100006406,1,130300.83,58601.27,1001,1
100007201,1,36130.48,44057.1,1001,1
100007202,1,73933.24,41286.15,1001,1
100007203,1,124331.41,84962.95,1001,1
100007204,1,96416.18,63454.42,1001,1
100007205,1,38472.69,23538.19,1001,1
100007206,1,131065.33,63527.32,1001,1
100008401,1,103179.77,45370.29,1001,1
100008402,1,89747.32,45928.56,1001,1
100008403,1,103557.42,68782.76,1001,1
100008404,1,99750.56,15301.22,1001,1
100008405,1,96379.71,40282.12,1001,1
100008406,1,31173.12,11177.0,1001,1
100009601,1,35606.44,894.0,1001,1
100009602,1,235665.3,65223.07,1001,1
100009603,1,61578.67,45026.95,1001,1
100009604,1,57531.12,24185.55,1001,1
100009605,1,106273.11,69097.77,1001,1
100009606,1,127352.44,64912.2,1001,1
100010901,1,41562.08,29335.19,1001,1
100010902,1,86310.51,48565.29,1001,1
100010903,1,166513.48,67266.83,1001,1
100010904,1,34239.12,31329.44,1001,1
100010905,1,76826.36,52411.03,1001,1
100010906,1,161154.81,220656.65,1001,1
100011801,1,97598.33,36793.36,1001,1
100011802,1,46108.6,41150.2,1001,1
100011803,1,65263.98,32251.08,1001,1
100011804,1,81654.84,36932.61,1001,1
100011805,1,24451.16,30351.37,1001,1
100011806,1,67719.17,47476.1,1001,1
100012001,1,100745.07,73335.77,1001,1
100012004,1,75422.11,36086.49,1001,1
100012005,1,123967.7,76570.69,1001,1
100012006,1,77541.03,35908.16,1001,1
100013801,1,166816.1,53726.5,1001,1
100013803,1,176688.01,89912.93,1001,1
100013804,1,41680.32,53562.46,1001,1
100013805,1,93217.78,37327.18,1001,1
100013806,1,99785.44,28557.08,1001,1
100014201,1,34444.22,28748.02,1001,1
100014202,1,83899.19,43643.02,1001,1
100014203,1,89961.34,48814.61,1001,1
100014204,1,25860.24,41470.34,1001,1
100014205,1,151162.3,100442.99,1001,1
100014206,1,37568.05,50178.17,1001,1
100015401,1,48031.0,26232.36,1001,1
100015402,1,64779.78,40512.52,1001,1
100015403,1,72279.24,51268.58,1001,1
100015405,1,114437.35,70960.09,1001,1
100015406,1,106080.92,73878.18,1001,1
100016601,1,148270.89,67237.7,1001,1
100016602,1,61367.19,49651.63,1001,1
100016603,1,157517.5,56363.03,1001,1
100016604,1,119010.99,41238.96,1001,1
100016605,1,105346.14,42343.92,1001,1
100017801,1,28745.9,16984.98,1001,1
100017802,1,56119.61,31727.14,1001,1
100017803,1,29925.13,21733.71,1001,1
100017804,1,42184.19,78756.15,1001,1
100017805,1,37904.04,17238.99,1001,1
100017806,1,56016.37,21148.04,1001,1
100018301,1,89663.16,38027.4,1001,1
100018302,1,106328.38,65329.83,1001,1
100018303,1,68744.24,48432.87,1001,1
100018304,1,104555.55,50617.7,1001,1
100018305,1,49423.6,47999.5,1001,1
100018306,1,46169.46,17756.51,1001,1
100019501,1,99893.34,73528.18,1001,1
