folioviv,tot_resid,mat_pared,mat_techos,ab_agua,agua_noe,dotac_agua,sanit_agua,drenaje
100001901,4,8,10,1,,1,1,1
100001902,4,8,10,1,,1,1,1
100001904,2,8,10,1,,1,1,1
100001905,4,8,10,1,,2,1,1
100002501,4,8,10,1,,1,1,1
100002502,4,8,10,1,,1,1,1
100002504,4,8,10,1,,1,1,1
100002505,4,8,10,1,,1,1,1
100002506,3,8,10,1,,1,1,1
100003701,4,8,10,1,,1,1,1
100003702,3,8,10,1,,1,1,1
100003703,3,8,10,1,,1,1,1
100003704,2,8,10,1,,1,1,1
100003705,2,8,10,1,,1,1,1
100003706,2,8,10,1,,3,1,1
100004201,4,8,10,1,,1,1,1
100004202,4,8,10,1,,1,1,1
100004203,3,8,10,1,,1,1,1
100004204,5,8,10,1,,1,1,1
100004206,3,8,10,1,,1,1,1
100005601,2,8,10,1,,1,1,1
100005602,3,8,10,1,,1,1,1
100005603,3,8,10,1,,1,1,1
100005604,3,8,10,1,,1,1,1
100005605,5,8,10,1,,1,1,1
100005606,6,8,10,1,,1,1,1
100006401,5,8,10,1,,1,1,1
100006402,3,8,10,1,,1,1,1
100006403,5,8,10,1,,2,1,1
100006404,4,8,10,1,,1,1,1
100006405,3,8,10,1,,2,1,1
100006406,2,8,10,1,,1,1,1
100007201,4,8,10,1,,1,1,1
100007202,1,8,10,1,,1,1,1
100007203,4,8,10,1,,1,1,1
100007204,4,8,10,1,,1,1,1
100007205,1,8,10,1,,1,1,1
100007206,4,8,10,1,,1,1,1
100008401,3,8,10,1,,1,1,1
100008402,5,8,10,1,,1,1,1
100008403,2,8,10,1,,1,1,1
100008404,2,8,10,1,,1,1,1
100008405,3,8,10,1,,1,1,1
100008406,1,8,10,1,,1,1,1
100009601,1,8,10,1,,2,1,1
100009602,5,8,10,1,,1,1,1
100009603,4,8,10,1,,1,1,1
100009604,5,8,10,1,,1,1,1
100009605,5,8,10,1,,1,1,1
100009606,5,8,10,1,,1,1,1
100010901,2,8,10,1,,2,1,1
100010902,5,8,10,1,,2,1,1
100010903,4,8,10,1,,1,1,1
100010904,3,8,10,1,,1,1,1
100010905,5,8,10,1,,1,1,1
100010906,4,8,10,1,,1,1,1
100011801,7,8,10,1,,1,1,1
100011802,1,8,10,1,,1,1,1
100011803,3,8,10,1,,1,1,1
100011804,6,8,10,1,,1,1,1
100011805,1,8,10,1,,1,1,1
100011806,2,8,10,1,,1,1,1
100012001,4,8,10,1,,2,1,1
100012004,5,8,10,1,,1,1,1
100012005,5,8,10,1,,1,1,1
100012006,3,8,10,1,,1,1,1
100013801,2,8,10,1,,2,1,1
100013803,5,8,10,1,,1,1,1
100013804,4,8,10,1,,2,1,1
100013805,2,8,10,1,,1,1,1
100013806,3,8,10,1,,1,1,1
100014201,2,8,10,1,,2,1,1
100014202,4,8,10,1,,2,1,1
100014203,4,8,10,1,,2,1,1
100014204,1,8,10,1,,1,1,1
100014205,4,8,10,1,,2,1,1
100014206,5,8,10,1,,2,1,1
100015401,2,8,10,1,,2,2,1
100015402,3,8,10,1,,1,1,1
100015403,6,8,10,1,,2,1,1
100015405,5,8,10,1,,1,1,1
100015406,5,8,10,1,,2,1,1
100016601,5,8,10,1,,1,1,1
100016602,2,8,10,1,,1,1,1
100016603,4,8,10,1,,1,1,1
100016604,8,8,10,1,,3,2,1
100016605,4,8,10,1,,2,1,1
100017801,2,8,10,1,,1,1,1
100017802,3,8,10,1,,1,1,1
100017803,4,8,10,1,,1,1,1
100017804,2,8,10,1,,2,1,1
100017805,1,8,10,1,,2,1,1
100017806,3,8,10,1,,2,1,1
100018301,2,8,10,1,,1,1,1
100018302,4,8,10,1,,1,1,1
100018303,2,8,10,1,,1,1,1
100018304,5,8,10,1,,1,1,1
100018305,4,8,10,1,,1,1,1
100018306,4,8,10,1,,1,1,1
100019501,4,8,10,1,,1,1,1
100019502,3,8,10,1,,1,1,1
100019503,2,8,10,1,,1,1,1
100019504,4,8,10,1,,1,1,1
100019505,4,8,10,1,,1,1,1
100019506,4,8,10,1,,1,1,1
100020701,1,8,10,1,,2,1,1
100020702,4,8,10,1,,1,1,1
100020703,2,8,10,1,,1,1,1
100020704,5,8,10,1,,2,1,1
100020705,4,8,10,1,,2,1,1
100020706,1,8,10,1,,1,1,1
100021901,2,8,10,1,,1,1,1
100021903,3,8,10,1,,1,1,1
100021904,4,8,10,1,,1,1,1
100021905,3,8,10,1,,4,1,1
100022201,4,8,10,1,,4,1,1
100022202,2,8,10,1,,3,1,1
100022203,6,8,10,1,,4,1,1
100022204,6,8,10,1,,1,1,1
100022206,2,8,10,1,,3,1,1
100023001,6,8,10,1,,1,1,1
100023002,1,8,10,1,,1,1,1
100023004,4,8,10,1,,1,1,1
100023005,5,8,10,1,,2,1,1
100023006,1,8,10,1,,1,1,1
100024301,4,8,10,1,,1,1,1
100024302,2,8,10,1,,2,1,1
100024303,3,8,10,1,,1,1,1
100024304,1,8,10,1,,1,1,1
100024305,6,8,10,1,,1,1,1
100024306,3,8,10,1,,1,1,1
100025501,2,8,10,1,,1,1,1
